;bioproject;study_title;study_type;study_abstract;verdict;study_description;study_attribute;matching_biosample_count;total_biosample_count;short_title;prevalence_raw;twin_study;healthy_study;species_study
153;ERP125979;Metaomics Reveals Microbiome Based Proteolysis as a Driver of Ulcerative Colitis Severity;Other;Ulcerative colitis (UC) is driven by disturbed host-microbiota relations, but current treatments exclusively target host inflammatory pathways. To understand how host-microbiota interactions go awry in UC, we collected and analyzed six fecal or serum based –omic datasets from 40 UC patient samples displaying varying clinical, endoscopic, and histologic disease activity. A validation cohort of 210 samples (73 UC, 117 Crohn's disease (CD), 20 healthy controls) was collected and analyzed separately and independently. Data integration across both cohorts showed that a subset of the clinically active UC patients had an over-abundance of proteases that originated from the bacterium, Bacteroides vulgatus. To test the hypothesis that B. vulgatus proteases contribute to UC disease activity, we first profiled B. vulgatus proteases and then selected an appropriate broad-spectrum protease inhibitor to evaluate their involvement in colitis models. Protease inhibition improved B. vulgatus-induced barrier dysfunction in vitro, and prevented colitis in B. vulgatus IL10 deficient monocolonized mice. Furthermore, transplantation of feces from UC patients with over-abundant B. vulgatus proteases into germ-free mice induced colitis dependent on protease activity. Together, these results stemming from a multi-omics approach, improve understanding of functional alterations in microbiota that drive UC and suggest inhibition of B. vulgatus proteases as a novel strategy to treat this disease.;Good - Ulcerative colitis;NA;ENA-FIRST-PUBLIC: 2020-12-17 || ENA-LAST-UPDATE: 2020-12-17;1;80;Metaomics Reveals Microbiome Based Prote;0,0125;FALSE;TRUE;human
83;ERP105320;A catalog of microbial genes from the bovine rumen reveals the determinants of herbivory;Other;The rumen microbiome is responsible for the unique nature of ruminants. A thorough knowledge of the genetic potential of rumen symbiotic microbes is therefore crucial for the sustainability of ruminant production systems. Using deep metagenome sequencing we identified 13,825,880 non-redundant prokaryote genes from the bovine rumen and constructed 324 high quality metagenomic species. These metagenomic species were prevalent in the rumen of 77 cattle fed various diets whereas known rumen microbial genomes were less abundant. Compared to human, pig and mouse gut metagenome catalogs, the rumen is richer in functions and microbial species associated to the degradation of lignocellulosic material and production of methane. Genes coding for enzymes that deconstruct lignocellulosic substrates showed a particularly high richness that is otherwise impossible to infer from available genomes or shallow metagenomics sequencing. These data bring new insights on functions, enzymes and microbes of the rumen, critical to understand phenotypes and biological processes.;Bad;The rumen microbiome is responsible for the unique nature of ruminants. A thorough knowledge of the genetic potential of rumen symbiotic microbes is therefore crucial for the sustainability of ruminant production systems. Using deep metagenome sequencing we identified 13,825,880 non-redundant prokaryote genes from the bovine rumen and constructed 324 high quality metagenomic species. These metagenomic species were prevalent in the rumen of 77 cattle fed various diets whereas known rumen microbial genomes were less abundant. Compared to human, pig and mouse gut metagenome catalogs, the rumen is richer in functions and microbial species associated to the degradation of lignocellulosic material and production of methane. Genes coding for enzymes that deconstruct lignocellulosic substrates showed a particularly high richness that is otherwise impossible to infer from available genomes or shallow metagenomics sequencing. These data bring new insights on functions, enzymes and microbes of the rumen, critical to understand phenotypes and biological processes.;ENA-FIRST-PUBLIC: 2018-02-27 || ENA-LAST-UPDATE: 2017-11-22;12;87;A catalog of microbial genes from the bo;0,137931034;FALSE;FALSE;human
43;ERP010448;A longitudinal study of the feline faecal microbiome identifies changes into early adulthood irrespective of sexual development;Other;Companion animals provide an excellent model for studies of the gut microbiome because potential confounders such as diet and environment can be more readily controlled for than in humans. Additionally, domestic cats and dogs are typically neutered early in life, enabling an investigation into the potential effect of sex hormones on the microbiome. In a longitudinal study to investigate the potential effects of neutering, neutering age and gender on the gut microbiome during growth, the faeces of kittens (16 male, 14 female) were sampled at 18, 30 and 42 weeks of age. DNA was shotgun sequenced on the Illumina platform and sequence reads were annotated for taxonomy and function by comparison to a database of protein coding genes. In a statistical analysis of diversity, taxonomy and functional potential of the microbiomes, age was revealed as the only factor with significant effects on the variation observed. No significant effects were detected for gender, neutering, or age when neutered (19 or 31 weeks). At 18 weeks of age the microbiome was dominated by the genera Lactobacillus and Bifidobacterium (35% and 20% average abundance). Structural and functional diversity was significantly increased by week 30 but there was no further significant increase. At 42 weeks of age the most abundant genera were Bacteroides (16%), Prevotella (14%) and Megasphaera (8%). Significant differences in functional potential included an enrichment for genes in energy metabolism (carbon metabolism and oxidative phosphorylation) and depletion in cell motility (flagella and chemotaxis). We conclude that the feline faecal microbiome is predominantly determined by age when diet and environment are controlled for. We suggest this finding may also be informative for studies of the human microbiome, where control over such factors is usually limited.;Bad;Companion animals provide an excellent model for studies of the gut microbiome because potential confounders such as diet and environment can be more readily controlled for than in humans. Additionally, domestic cats and dogs are typically neutered early in life, enabling an investigation into the potential effect of sex hormones on the microbiome. In a longitudinal study to investigate the potential effects of neutering, neutering age and gender on the gut microbiome during growth, the faeces of kittens (16 male, 14 female) were sampled at 18, 30 and 42 weeks of age. DNA was shotgun sequenced on the Illumina platform and sequence reads were annotated for taxonomy and function by comparison to a database of protein coding genes. In a statistical analysis of diversity, taxonomy and functional potential of the microbiomes, age was revealed as the only factor with significant effects on the variation observed. No significant effects were detected for gender, neutering, or age when neutered (19 or 31 weeks). At 18 weeks of age the microbiome was dominated by the genera Lactobacillus and Bifidobacterium (35% and 20% average abundance). Structural and functional diversity was significantly increased by week 30 but there was no further significant increase. At 42 weeks of age the most abundant genera were Bacteroides (16%), Prevotella (14%) and Megasphaera (8%). Significant differences in functional potential included an enrichment for genes in energy metabolism (carbon metabolism and oxidative phosphorylation) and depletion in cell motility (flagella and chemotaxis). We conclude that the feline faecal microbiome is predominantly determined by age when diet and environment are controlled for. We suggest this finding may also be informative for studies of the human microbiome, where control over such factors is usually limited.;NA;3;88;A longitudinal study of the feline faeca;0,034090909;FALSE;FALSE;human
135;ERP121364;Strain-level analysis of Bifidobacterium spp. from human gut metagenomes of individuals with different lactase persistence genotypes;Other;BackgroundOne of the strongest signals of human genetic effects on the gut microbiome is the association between the relative abundance of Bifidobacterium and host genotype at the locus for the lactase gene (LCT), which is associated with lactase persistence. In several populations of European descent, individuals with lactase non-persistence have been shown to harbor a greater proportion of Bifidobacterium in stool compared to those with lactase persistence. These associations are based on 16S rRNA gene data that do not discriminate between species of Bifidobacterium. Given the wide functional and taxonomic diversity of this genus, a species-level resolution of the LCT-Bifidobacterium association would allow better understanding of the underlying relationship. Here, we further interrogated the LCT-Bifidobacterium in adult monozygotic twins that were concordant for either lactase persistence (AA/AG) or non-persistence (GG). We used metagenomics on (1) bulk DNA extracts and (2) post genome-capture with a Bifidobacterium-specific probe array.ResultsWe observed specific Bifidobacteria are proportionally enriched in GG versus AG/AA individuals, which are both dominated by B. adolescentis and B. longum. We found no discriminant Bifidobacterium species between GG and AG/AA genotypes, nor any genotypic signal on Bifidobacterium community structure. Our genome capture data revealed strong intra-individual longitudinal stability of B. longum, B. adolescentis, and B. bifidum strains, and increased intra-twin strain similarities compared to unrelated individuals, but did not reveal an effect of host lactase persistence genotype on strain stability or strain composition. ConclusionsThe Bifidobacteria are often considered specialists in human gut communities. Yet our study suggests a wide niche space across all human associated Bifidobacteria, which would enable them to exploit the greater availability of intact lactose reaching the large intestine of lactase non-persistent people.;Good;BackgroundOne of the strongest signals of human genetic effects on the gut microbiome is the association between the relative abundance of Bifidobacterium and host genotype at the locus for the lactase gene (LCT), which is associated with lactase persistence. In several populations of European descent, individuals with lactase non-persistence have been shown to harbor a greater proportion of Bifidobacterium in stool compared to those with lactase persistence. These associations are based on 16S rRNA gene data that do not discriminate between species of Bifidobacterium. Given the wide functional and taxonomic diversity of this genus, a species-level resolution of the LCT-Bifidobacterium association would allow better understanding of the underlying relationship. Here, we further interrogated the LCT-Bifidobacterium in adult monozygotic twins that were concordant for either lactase persistence (AA/AG) or non-persistence (GG). We used metagenomics on (1) bulk DNA extracts and (2) post genome-capture with a Bifidobacterium-specific probe array.ResultsWe observed specific Bifidobacteria are proportionally enriched in GG versus AG/AA individuals, which are both dominated by B. adolescentis and B. longum. We found no discriminant Bifidobacterium species between GG and AG/AA genotypes, nor any genotypic signal on Bifidobacterium community structure. Our genome capture data revealed strong intra-individual longitudinal stability of B. longum, B. adolescentis, and B. bifidum strains, and increased intra-twin strain similarities compared to unrelated individuals, but did not reveal an effect of host lactase persistence genotype on strain stability or strain composition. ConclusionsThe Bifidobacteria are often considered specialists in human gut communities. Yet our study suggests a wide niche space across all human associated Bifidobacteria, which would enable them to exploit the greater availability of intact lactose reaching the large intestine of lactase non-persistent people.;ENA-FIRST-PUBLIC: 2020-05-01 || ENA-LAST-UPDATE: 2020-04-25;6;94;Strain-level analysis of Bifidobacterium;0,063829787;TRUE;FALSE;human
89;ERP107921;Metagenomic insights into resistant starch degradation by human gut microbiota;Other;"Several studies monitoring alterations of the community structure upon resistant starch (RS) interventions are available, although comprehensive function-based analyses are lacking. Recently, a multiomics approach based on 16S rRNA gene-sequencing, metaproteomics and metabolomics on fecal samples from individuals subjected to high and low doses of type-2 RS (RS2; 48 g and 3 g/2500 kcal, respectively, daily for 2 weeks) in a cross-over intervention experiment was performed. In the present study, we did pathway-based metagenomic analyses on samples from a subset of individuals (n=12) from that study to get additional, detailed insights into the functional structure at high resolution during RS2 intervention. A mechanistic framework based on obtained results is proposed where primary degradation was governed by Firmicutes, primarily via the keystone degrader Ruminococcus bromii providing fermentation substrates and increased acetate concentrations for growth of various major butyrate-producers exhibiting the enzyme butyryl-CoA:acetate CoA-transferase. H2-scavenging sulfite reducers and acetogens concurrently increased. Augmented fermentation products lowered the pH, further favoring Firmicutes including butyrate producers at the expense of pH-sensitive gram-negative bacteria, in particular Bacteroides. Individual responses of gut microbiota were noted where seven of the 12 participants displayed all features of the outlined pattern, whereas four individuals showed mixed behavior and one subject was unresponsive. Intervention order did not affect the outcome emphasizing a constant substrate supply for maintaining specific functional communities.";Good;"Several studies monitoring alterations of the community structure upon resistant starch (RS) interventions are available, although comprehensive function-based analyses are lacking. Recently, a multiomics approach based on 16S rRNA gene-sequencing, metaproteomics and metabolomics on fecal samples from individuals subjected to high and low doses of type-2 RS (RS2; 48 g and 3 g/2500 kcal, respectively, daily for 2 weeks) in a cross-over intervention experiment was performed. In the present study, we did pathway-based metagenomic analyses on samples from a subset of individuals (n=12) from that study to get additional, detailed insights into the functional structure at high resolution during RS2 intervention. A mechanistic framework based on obtained results is proposed where primary degradation was governed by Firmicutes, primarily via the keystone degrader Ruminococcus bromii providing fermentation substrates and increased acetate concentrations for growth of various major butyrate-producers exhibiting the enzyme butyryl-CoA:acetate CoA-transferase. H2-scavenging sulfite reducers and acetogens concurrently increased. Augmented fermentation products lowered the pH, further favoring Firmicutes including butyrate producers at the expense of pH-sensitive gram-negative bacteria, in particular Bacteroides. Individual responses of gut microbiota were noted where seven of the 12 participants displayed all features of the outlined pattern, whereas four individuals showed mixed behavior and one subject was unresponsive. Intervention order did not affect the outcome emphasizing a constant substrate supply for maintaining specific functional communities.";ENA-FIRST-PUBLIC: 2018-04-11 || ENA-LAST-UPDATE: 2018-04-11;2;97;Metagenomic insights into resistant star;0,020618557;FALSE;FALSE;human
84;ERP105428;A novel affordable reagent for room temperature storage and transport of fecal samples for metagenomic analyses;Other;Background: The number of large-scale studies on the gut microbiota in human cohorts is rapidly increasing. However, the few and expensive options for storage of fecal samples at room temperature have been an obstacle for large-scale metagenomic studies and the development of clinical/commercial personal metagenomic sequencing. Results: In this study, we systematically tested a novel N-octylpyridinium bromide-based fecal sample preservation method, and compared it with other currently used storage methods. We found that the N-octylpyridinium bromide-based method enabled preservation of the bacterial composition in fecal samples transported and stored at room temperature for up to at least 14 days.Conclusions: We describe a novel chemical stabilizer that allows cost-effective transportation and storage at room temperature for several days with preservation of bacterial composition. This method will facilitate sample collection even in remote area and also enable transport via normal commercial transportation routes.;Bad;Background: The number of large-scale studies on the gut microbiota in human cohorts is rapidly increasing. However, the few and expensive options for storage of fecal samples at room temperature have been an obstacle for large-scale metagenomic studies and the development of clinical/commercial personal metagenomic sequencing. Results: In this study, we systematically tested a novel N-octylpyridinium bromide-based fecal sample preservation method, and compared it with other currently used storage methods. We found that the N-octylpyridinium bromide-based method enabled preservation of the bacterial composition in fecal samples transported and stored at room temperature for up to at least 14 days.Conclusions: We describe a novel chemical stabilizer that allows cost-effective transportation and storage at room temperature for several days with preservation of bacterial composition. This method will facilitate sample collection even in remote area and also enable transport via normal commercial transportation routes.;ENA-FIRST-PUBLIC: 2017-12-12 || ENA-LAST-UPDATE: 2017-11-28;16;100;A novel affordable reagent for room temp;0,16;FALSE;FALSE;human
62;ERP016813;Integrated metabolomics and metagenomics analysis of plasma and urine identified microbial metabolites associated with coronary heart disease;Other;Coronary heart disease (CHD) is top risk factor for health in modern society, causing high mortality rate each year. However, there is no reliable way for early diagnosis and prevention of CHD so far. So study the mechanism of CHD and development of novel biomarkers is urgently needed. In this study, metabolomics and metagenomics technology are applied to discover new biomarkers from plasma and urine of 59 CHD patients and 43 healthy controls and trace their origin. We identify GlcNAc-6-P which has good diagnostic capability and can be used as potential biomarkers for CHD, together with mannitol and 15 plasma cholines. These identified metabolites show significant correlations with clinical biochemical indexes. Meanwhile, GlcNAc-6-P and mannitol are potential metabolites originated from intestinal microbiota. Association analysis on species and function levels between intestinal microbes and metabolites suggest a close correlation between Clostridium sp. HGF2 and GlcNAc-6-P, Clostridium sp. HGF2, Streptococcus sp. M143, Streptococcus sp. M334 and mannitol. These suggest the metabolic abnormality is significant and gut microbiota dysbiosis happens in CHD patients.;Bad;Coronary heart disease (CHD) is top risk factor for health in modern society, causing high mortality rate each year. However, there is no reliable way for early diagnosis and prevention of CHD so far. So study the mechanism of CHD and development of novel biomarkers is urgently needed. In this study, metabolomics and metagenomics technology are applied to discover new biomarkers from plasma and urine of 59 CHD patients and 43 healthy controls and trace their origin. We identify GlcNAc-6-P which has good diagnostic capability and can be used as potential biomarkers for CHD, together with mannitol and 15 plasma cholines. These identified metabolites show significant correlations with clinical biochemical indexes. Meanwhile, GlcNAc-6-P and mannitol are potential metabolites originated from intestinal microbiota. Association analysis on species and function levels between intestinal microbes and metabolites suggest a close correlation between Clostridium sp. HGF2 and GlcNAc-6-P, Clostridium sp. HGF2, Streptococcus sp. M143, Streptococcus sp. M334 and mannitol. These suggest the metabolic abnormality is significant and gut microbiota dysbiosis happens in CHD patients.;NA;23;102;Integrated metabolomics and metagenomics;0,225490196;FALSE;TRUE;human
82;ERP105282;WGS data from FMT trial for the treatment of recurrent Clostridium difficile infection;Other;Fecal microbiota transplantation (FMT) is a treatment for microbiome-associated diseases in which gut microbiota are transferred from a healthy donor to a patient. Although the success of FMT requires donor bacteria to engraft in the patient's gut, the forces governing bacterial engraftment in humans are unknown. Here, we use a vast, ongoing clinical experiment - the treatment of recurrent Clostridium difficile infection with FMT - to uncover the rules of engraftment in humans. First, we built a machine learning model that accurately predicts which bacterial species will engraft in a given host. We then developed a maximum-likelihood strain inference method, Strain Finder, allowing us to infer the genotypes of donor strains and to track them through patients' guts over time. Surprisingly, engraftment could be predicted largely from the abundance and phylogeny of bacteria in the donor and the pre-FMT patient. We also found that donor strains within a species engraft in an all-or-nothing manner and that previously undetected strains frequently colonize the patient after FMT. We validated these findings in another disease context, metabolic syndrome, suggesting that the same principles of engraftment extend to other indications. These findings may guide the design of bacterial therapeutics that target diseases ranging from ulcerative colitis to cancer.;Bad;Fecal microbiota transplantation (FMT) is a treatment for microbiome-associated diseases in which gut microbiota are transferred from a healthy donor to a patient. Although the success of FMT requires donor bacteria to engraft in the patient's gut, the forces governing bacterial engraftment in humans are unknown. Here, we use a vast, ongoing clinical experiment - the treatment of recurrent Clostridium difficile infection with FMT - to uncover the rules of engraftment in humans. First, we built a machine learning model that accurately predicts which bacterial species will engraft in a given host. We then developed a maximum-likelihood strain inference method, Strain Finder, allowing us to infer the genotypes of donor strains and to track them through patients' guts over time. Surprisingly, engraftment could be predicted largely from the abundance and phylogeny of bacteria in the donor and the pre-FMT patient. We also found that donor strains within a species engraft in an all-or-nothing manner and that previously undetected strains frequently colonize the patient after FMT. We validated these findings in another disease context, metabolic syndrome, suggesting that the same principles of engraftment extend to other indications. These findings may guide the design of bacterial therapeutics that target diseases ranging from ulcerative colitis to cancer.;ENA-FIRST-PUBLIC: 2017-11-21 || ENA-LAST-UPDATE: 2017-11-20;36;110;WGS data from FMT trial for the treatmen;0,327272727;FALSE;TRUE;human
128;ERP117493;The evolution and changing ecology of the African hominid oral microbiome;Other;The oral microbiome plays key roles in human biology, health, and disease, but little is known about the global diversity, variation, or evolution of this microbial community. To better understand the evolution and changing ecology of the human oral microbiome, we analysed 124 dental biofilm metagenomes from humans, including Neanderthals and Late Pleistocene to present-day modern humans, chimpanzees, and gorillas, as well as New World howler monkeys for comparison. We find that a core microbiome of primarily biofilm-structural taxa has been maintained throughout African hominid evolution, and these microbial groups are also shared with howler monkeys, suggesting that they have been important oral members since before the catarrhine-platyrrhine split ca. 40 million years ago. However, community structure and individual microbial phylogenies do not closely reflect host relationships, and the dental biofilms of Homo and chimpanzees are distinguished by major taxonomic and functional differences. Reconstructing oral metagenomes up to 100 thousand years ago, we show that the microbial profiles of both Neanderthals and modern humans are highly similar, sharing functional adaptations in nutrient metabolism. These include an apparent Homo-specific acquisition of salivary amylase-binding capability by oral streptococci, suggesting microbial co-adaptation with host diet. We additionally find evidence of shared genetic diversity in the oral bacteria of Neanderthal and Upper Palaeolithic modern humans that is not observed in later modern human populations. Differences in the oral microbiomes of African hominids provide insights into human evolution, the ancestral state of the human microbiome, and a temporal framework for understanding microbial health and disease.;Bad;The oral microbiome plays key roles in human biology, health, and disease, but little is known about the global diversity, variation, or evolution of this microbial community. To better understand the evolution and changing ecology of the human oral microbiome, we analysed 124 dental biofilm metagenomes from humans, including Neanderthals and Late Pleistocene to present-day modern humans, chimpanzees, and gorillas, as well as New World howler monkeys for comparison. We find that a core microbiome of primarily biofilm-structural taxa has been maintained throughout African hominid evolution, and these microbial groups are also shared with howler monkeys, suggesting that they have been important oral members since before the catarrhine-platyrrhine split ca. 40 million years ago. However, community structure and individual microbial phylogenies do not closely reflect host relationships, and the dental biofilms of Homo and chimpanzees are distinguished by major taxonomic and functional differences. Reconstructing oral metagenomes up to 100 thousand years ago, we show that the microbial profiles of both Neanderthals and modern humans are highly similar, sharing functional adaptations in nutrient metabolism. These include an apparent Homo-specific acquisition of salivary amylase-binding capability by oral streptococci, suggesting microbial co-adaptation with host diet. We additionally find evidence of shared genetic diversity in the oral bacteria of Neanderthal and Upper Palaeolithic modern humans that is not observed in later modern human populations. Differences in the oral microbiomes of African hominids provide insights into human evolution, the ancestral state of the human microbiome, and a temporal framework for understanding microbial health and disease.;ancient DNA || archaeogenetics || dental calculus || evolution || microbiome || oral microbiome || palaeogenetics || hominid || neanderthal || gorilla || human || chimpanzee || ENA-FIRST-PUBLIC: 2021-04-27 || ENA-LAST-UPDATE: 2021-04-15;1;115;The evolution and changing ecology of th;0,008695652;FALSE;FALSE;human
108;ERP113632;Human Gut Microbiota from Autism Spectrum Disorder Promote Behavioral Symptoms in Mice;Other;Social impairment is a major symptom of neuropsychiatric conditions, such as autism spectrum disorder (ASD), schizophrenia, anxiety and depression. While the microbiome has been linked to social interaction in animals, gut-brain connections that regulate this complex behavior remain entirely undescribed. Herein, we demonstrate that depletion of microbiota in mice not only impairs social behavior, but also activates specific brain regions related to canonical stress responses. Social deviation in germ-free and antibiotic-treated mice is associated with elevated levels of the stress hormone corticosterone, which is primarily produced via activation of hypothalamus-pituitary-adrenal (HPA) axis. Accordingly, removal of the adrenal gland, antagonism of the glucocorticoid receptor, and pharmacological inhibition of corticosterone synthesis effectively correct social deficits. Genetic ablation of the glucocorticoid receptor in specific brain regions and chemogenetic inactivation of hypothalamic neurons dramatically increase social behavior. Further, we identify specific bacterial metabolites that suppress activation of the HPA axis and improve social impairment. These findings reveal that the gut microbiome regulates social behavior by co-opting neuronal circuits that control stress responses in mice.;Bad;Social impairment is a major symptom of neuropsychiatric conditions, such as autism spectrum disorder (ASD), schizophrenia, anxiety and depression. While the microbiome has been linked to social interaction in animals, gut-brain connections that regulate this complex behavior remain entirely undescribed. Herein, we demonstrate that depletion of microbiota in mice not only impairs social behavior, but also activates specific brain regions related to canonical stress responses. Social deviation in germ-free and antibiotic-treated mice is associated with elevated levels of the stress hormone corticosterone, which is primarily produced via activation of hypothalamus-pituitary-adrenal (HPA) axis. Accordingly, removal of the adrenal gland, antagonism of the glucocorticoid receptor, and pharmacological inhibition of corticosterone synthesis effectively correct social deficits. Genetic ablation of the glucocorticoid receptor in specific brain regions and chemogenetic inactivation of hypothalamic neurons dramatically increase social behavior. Further, we identify specific bacterial metabolites that suppress activation of the HPA axis and improve social impairment. These findings reveal that the gut microbiome regulates social behavior by co-opting neuronal circuits that control stress responses in mice.;ENA-FIRST-PUBLIC: 2019-03-27 || ENA-LAST-UPDATE: 2019-03-27;1;117;Human Gut Microbiota from Autism Spectru;0,008547009;FALSE;FALSE;unknown
18;DRP006403;Gut Microbiota dysbiosis leads to the development and progression of multiple sclerosis;Other;We searched for specific bacterial species and gene functions involved in the pathogenesis of classical Western-type multiple sclerosis (CMS) by analyzing the gut microbial metagenomic gene sequence data of 62 relapsing-remitting CMS patients, 15 secondary progressive CMS patients, 21 atypical MS patients, 20 neuromyelitis optica spectrum disorder patients, and 55 age-matched healthy controls. We identified candidates of specific bacterial species and gene functions that are involved in the development and progression of MS.;Good - other disease;NA;NA;3;118;Gut Microbiota dysbiosis leads to the de;0,025423729;FALSE;TRUE;human
64;ERP017091;The gut microbiome in Crohn's disease and modulation by exclusive enteral nutrition;Other;AbstractBackgroundInflammatory bowel diseases (IBD), with Crohn’s disease (CD) being one of the primary types, have been extensively studied for genetic and gut microbial factors leading to its epidemic in the modern world. However, limited information using metagenomic shotgun-sequencing to pinpoint the gut microbial species and functions involved. Exclusive enteral nutrition (EEN) is a nutritional therapy used for disease-modifying treatment of CD, but its impact on the gut microbiome remains unclear. ResultsWe collected 123 stool samples from 49 CD patients, 14 of whom were resampled after 2 weeks of EEN, and 56 subjects with no disease. Metagenomic shotgun sequencing and analyses confirmed a decreased diversity in the gut microbiota of CD patients, and identified microbial species and potential functions altered in CD, most notably an increased ratio of hexa- to penta-acylated lipopolysaccharide (LPS). Some co-abundance gene groups (CAGs) including Parabacteroides distasonis, Bacteroides intestinalis, Ruminococcus sp. showed strong correlation with clinical indicators such as hs.CRP, Prealbumin, platelets and BMI. The entire cohort could be divided into three types according to their species composition, with Type A largely consisting of healthy controls and Type C containing exclusively CD or after EEN samples. Although compositional changes were generally mild after 2 weeks of EEN, remodeling of the gut microbial network could be observed.ConclusionsOur metagenomic dataset unlock the gut microbiome in CD for functional investigations. Microbiome-based stratification of CD patients before EEN might help optimize the therapy for wider applications.;Good - IBD and CD;AbstractBackgroundInflammatory bowel diseases (IBD), with Crohn’s disease (CD) being one of the primary types, have been extensively studied for genetic and gut microbial factors leading to its epidemic in the modern world. However, limited information using metagenomic shotgun-sequencing to pinpoint the gut microbial species and functions involved. Exclusive enteral nutrition (EEN) is a nutritional therapy used for disease-modifying treatment of CD, but its impact on the gut microbiome remains unclear. ResultsWe collected 123 stool samples from 49 CD patients, 14 of whom were resampled after 2 weeks of EEN, and 56 subjects with no disease. Metagenomic shotgun sequencing and analyses confirmed a decreased diversity in the gut microbiota of CD patients, and identified microbial species and potential functions altered in CD, most notably an increased ratio of hexa- to penta-acylated lipopolysaccharide (LPS). Some co-abundance gene groups (CAGs) including Parabacteroides distasonis, Bacteroides intestinalis, Ruminococcus sp. showed strong correlation with clinical indicators such as hs.CRP, Prealbumin, platelets and BMI. The entire cohort could be divided into three types according to their species composition, with Type A largely consisting of healthy controls and Type C containing exclusively CD or after EEN samples. Although compositional changes were generally mild after 2 weeks of EEN, remodeling of the gut microbial network could be observed.ConclusionsOur metagenomic dataset unlock the gut microbiome in CD for functional investigations. Microbiome-based stratification of CD patients before EEN might help optimize the therapy for wider applications.;NA;36;123;The gut microbiome in Crohn's disease an;0,292682927;FALSE;TRUE;human
6;DRP003861;Impacts of Intestinal microbiota on graft-versus-host disease and engraftment after hematopoietic stem cell transplant;Whole Genome Sequencing;The intestinal microbial ecology is perturbed after hematopoietic stem cell transplantation (dysbiosis). Dysbiosis may impact on onset of graft-versus host disease and engraftment. Fecal samples were sequentially collected after hematopoietic stem cell transplantation for 16S rRNA sequencing. Impact of oral administration of antimicrobial molecules on microbiota was also evaluated.;Bad;NA;NA;1;126;Impacts of Intestinal microbiota on graf;0,007936508;FALSE;FALSE;unknown
46;ERP012177;Metagenomic analysis of fecal microbiome as a tool towards targeted non-invasive biomarkers for colorectal cancer;Other;We performed a metagenome-wide association study on fecal samples from 74 CRC patients and 54 controls from China and validated the results in 16 patients and 24 controls from Denmark. We further validated the biomarkers in two published cohorts from France and Austria. Finally, we employed targeted quantitative PCR (qPCR) assays to evaluate the diagnostic potential of selected biomarkers in an independent Chinese cohort of 47 patients and 109 controls.;Good - CRC;We performed a metagenome-wide association study on fecal samples from 74 CRC patients and 54 controls from China and validated the results in 16 patients and 24 controls from Denmark. We further validated the biomarkers in two published cohorts from France and Austria. Finally, we employed targeted quantitative PCR (qPCR) assays to evaluate the diagnostic potential of selected biomarkers in an independent Chinese cohort of 47 patients and 109 controls.;NA;21;128;Metagenomic analysis of fecal microbiome;0,1640625;FALSE;FALSE;human
154;ERP126117;Cecal microbiota transfer rescues the antibiotic-induced acceleration of type 1 diabetes and alteration of intestinal gene expression;Other;Early-life antibiotic exposure perturbs the intestinal microbiota, alters innate intestinal immunity, and accelerates type 1 diabetes development in the NOD mouse model. Here we found that maternal cecal microbiota transfer (CMT) to NOD mice with early-life antibiotic perturbation partially rescued the induced T1D acceleration. The restoration effects on the intestinal microbiome were substantial and persistent, remediating the antibiotic-depleted diversity, relative abundance of particular taxa, and metabolic pathways. CMT also protected against perturbed cecal and serum metabolites and normalized innate and adaptive immune effectors. CMT restored patterns of ileal microRNA and histone regulation of gene expression and exon-splicing. Based on the analyses of experimental data, we propose an innate intestinal immune network involving CD44, TLR2, and Reg3-gamma, as well as their multiple microRNA and epigenetic regulators that sense intestinal signaling by the gut microbiota. This regulation affects downstream immunological tone, leading to protection against the tissue-specific T1D injury.;Bad;Early-life antibiotic exposure perturbs the intestinal microbiota, alters innate intestinal immunity, and accelerates type 1 diabetes development in the NOD mouse model. Here we found that maternal cecal microbiota transfer (CMT) to NOD mice with early-life antibiotic perturbation partially rescued the induced T1D acceleration. The restoration effects on the intestinal microbiome were substantial and persistent, remediating the antibiotic-depleted diversity, relative abundance of particular taxa, and metabolic pathways. CMT also protected against perturbed cecal and serum metabolites and normalized innate and adaptive immune effectors. CMT restored patterns of ileal microRNA and histone regulation of gene expression and exon-splicing. Based on the analyses of experimental data, we propose an innate intestinal immune network involving CD44, TLR2, and Reg3-gamma, as well as their multiple microRNA and epigenetic regulators that sense intestinal signaling by the gut microbiota. This regulation affects downstream immunological tone, leading to protection against the tissue-specific T1D injury.;ENA-FIRST-PUBLIC: 2021-03-01 || ENA-LAST-UPDATE: 2020-12-24;1;128;Cecal microbiota transfer rescues the an;0,0078125;FALSE;FALSE;unknown
